id_percorso;descrizione;id_turno;durata;id_tipo;id_frequenza;id_presa_servizio;id_sede_operativa;id_gruppo_coordinamento;tipo_ripartizione;codice_cer;data_inizio_validita;data_fine_validita;versione
0201256301;Spazzamento Manuale Zona 1 Recco - Estivo;368;360;00020000;4064;079026;;26;M;;20240501;20240929;1
0201256601;Spazzamento Manuale Zona 3 Recco - Estivo;368;360;00020000;4064;079026;;26;M;;20240501;20240929;1
0500127701;Centro Paese estivo;394;360;00300000;4064;081045;;45;M;200108;20240501;20240930;1
0500128501;RDA organico 1 Avegno Estate;438;210;00300000;32;079026;;26;M;200108;20240601;20240929;1
0500128601;RDA Organico 2 Avegno Estate;438;210;00300000;32;079026;;26;M;200108;20240601;20240929;1
0505004401;Isola Ecologica Mattino - Estivo;122;360;00240000;1042;057090;;90;M;;20240601;20240929;1
0507122201;Plastica - Estivo - Stabilimenti Balneari - 7h;374;420;00390000;544;082049;;49;M;150106;20240601;20240929;1
0507122201;Plastica - Estivo - Stabilimenti Balneari - 7h;374;420;00390000;544;082049;;49;M;150106;20220501;20241231;2
0507131101;Centro Paese estivo;394;360;00390000;4064;081045;;45;M;150106;20240501;20240930;1
0507131601;RDA Multi 1 Avegno Estate;439;210;00390000;32;079026;;26;M;150106;20240601;20240929;1
0507131701;RDA Multi 2 Avegno Estate;439;210;00390000;32;079026;;26;M;150106;20240601;20240929;1
0507132101;RDA Multi Uscio;365;360;00390026;256;079026;;26;V;150106;20240412;20241231;1
