riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta
2;0101031503;299679;['20230811 rip 0']
3;0101031503;304113;['20240412 rip 0']
4;0101031503;304119;['20240113 rip 0']
5;0101032202;299602;['20230804 rip 0']
6;0101032202;300926;['20231031 rip 0']
7;0101032202;300925;['20231031 rip 0']
8;0101032202;301168;['20231105 rip 0']
9;0101033801;303346;['20231128 rip 0']
10;0101033801;303347;['20231128 rip 0']
11;0101033801;303356;['20231128 rip 0']
12;0101033801;303440;['20231202 rip 0']
13;0101033801;303444;['20231202 rip 0']
14;0101033801;303515;['20231213 rip 0']
15;0101033801;303449;['20231202 rip 0']
16;0101033801;303333;['20231128 rip 0']
17;0101034101;300266;['20230920 rip 0']
18;0101034101;316409;['20240503 rip 0']
19;0101034101;301583;['20231111 rip 0']
20;0101034101;316439;['20240503 rip 0']
21;0101034503;300965;['20231103 rip 0']
22;0101036303;311495;['20240211 rip 0']
23;0101036303;303504;['20231213 rip 0']
24;0101036303;302043;['20231121 rip 0']
25;0101038501;303530;['20231213 rip 0']
26;0101038501;303557;['20231215 rip 0']
27;0101038501;313526;['20240308 rip 0']
28;0101040101;314689;['20240406 rip 0']
29;0101040201;314583;['20240330 rip 0']
30;0101040703;300625;['20231011 rip 0']
31;0101040703;300625;['20231013 rip 0']
32;0101040703;314601;['20240331 rip 0']
33;0101040703;314601;['20240403 rip 0']
34;0101040703;300208;['20230917 rip 0']
35;0101040703;300207;['20230917 rip 0']
36;0101040703;313589;['20240320 rip 0']
37;0101040703;314562;['20240329 rip 0']
38;0101040703;314561;['20240329 rip 0']
39;0101344501;300406;['20230924 rip 0']
40;0101344501;300406;[]
41;0101344501;314797;['20240410 rip 0']
42;0101344501;314634;['20240404 rip 0']
43;0101346802;312677;['20240225 rip 0']
44;0101346802;312736;['20240225 rip 0']
45;0101346802;300464;['20230928 rip 0']
46;0101346802;300465;['20230928 rip 0']
47;0101350601;302056;['20231122 rip 0']
48;0101350601;313098;['20240301 rip 0']
49;0101350601;313099;['20240301 rip 0']
50;0101350803;299743;['20230819 rip 0']
51;0101350901;304104;['20240113 rip 0']
52;0101350901;304115;['20240113 rip 0']
53;0101350901;304128;['20240114 rip 0']
54;0101350901;304130;['20240114 rip 0']
55;0101350901;304131;['20240114 rip 0']
56;0101353501;314869;['20240413 rip 0']
57;0101360201;215808;['20230727 rip 0']
58;0101360201;175160;['20230727 rip 0']
59;0101360201;175161;['20230727 rip 0']
60;0101360201;175063;['20230727 rip 0']
61;0101360502;182782;['20230727 rip 1', '20231130 rip 2', '20230727 rip 0']
62;0101360502;182783;['20230727 rip 1', '20231130 rip 2', '20230727 rip 0']
63;0101360502;168061;['20230727 rip 1', '20231130 rip 2', '20230727 rip 0']
64;0101360502;182784;['20230727 rip 1', '20231130 rip 2', '20230727 rip 0']
65;0101360502;182782;['20230727 rip 1', '20231130 rip 2', '20230727 rip 0']
66;0101360502;182784;['20230727 rip 1', '20231130 rip 2', '20230727 rip 0']
67;0101360502;168061;['20230727 rip 1', '20231130 rip 2', '20230727 rip 0']
68;0101360502;182783;['20230727 rip 1', '20231130 rip 2', '20230727 rip 0']
69;0101360502;215808;['20230727 rip 0']
70;0101360502;175160;['20230727 rip 0']
71;0101360502;175161;['20230727 rip 0']
72;0101360502;175063;['20230727 rip 0']
73;0101360502;313255;['20240305 rip 0']
74;0101360602;313255;[]
75;0101360602;313217;[]
76;0101360802;313228;['20240305 rip 0', '20240305 rip 1']
77;0101360802;313228;['20240305 rip 0', '20240305 rip 1']
78;0101360903;313217;['20240305 rip 0']
79;0101360903;313255;['20240305 rip 0']
80;0101360903;215808;['20230727 rip 0']
81;0101360903;175160;['20230727 rip 0']
82;0101360903;175161;['20230727 rip 0']
83;0101360903;175063;['20230727 rip 0']
84;0101361001;215808;['20230727 rip 0']
85;0101361001;175160;['20230727 rip 0']
86;0101361001;175161;['20230727 rip 0']
87;0101361001;175063;['20230727 rip 0']
88;0101361502;215808;['20230727 rip 0']
89;0101361502;175160;['20230727 rip 0']
90;0101361502;175161;['20230727 rip 0']
91;0101361502;175063;['20230727 rip 0']
92;0101362101;304438;['20240119 rip 0']
93;0101362101;304439;['20240119 rip 0']
94;0101362903;313175;['20240303 rip 0']
95;0101363402;314767;['20240410 rip 0']
96;0101363501;314797;['20240410 rip 0']
97;0101363501;302052;['20231122 rip 0']
98;0101363501;314893;['20240414 rip 0']
99;0101363501;314892;['20240414 rip 0']
100;0101363801;304000;['20240105 rip 0']
101;0101364003;PERCORSO DISATTIVO
102;0101364003;PERCORSO DISATTIVO
103;0101364003;PERCORSO DISATTIVO
104;0101368103;299743;['20230819 rip 0']
105;0101377801;300266;['20230920 rip 0']
106;0101377801;312736;['20240225 rip 0']
107;0101377801;314370;['20240324 rip 0']
108;0101377901;299743;['20230819 rip 0']
109;0101377901;316222;['20240428 rip 0']
110;0101378101;279767;['20230727 rip 0']
111;0101378101;279763;['20230727 rip 0']
