riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta;data_fine_corretta
1;0101000301;315357;20240423;99991231
2;0101000301;315357;;
3;0101000301;315355;20240423;99991231
4;0101000301;315355;;
5;0101000301;315358;20240423;99991231
6;0101000301;315358;;
7;0101000301;315359;20240423;99991231
8;0101000301;315359;;
9;0101000301;315360;20240423;99991231
10;0101000301;315360;;
11;0101000401;301631;20231231;99991231
12;0101000401;301631;;
13;0101000401;315349;20240423;99991231
14;0101000401;315349;;
15;0101000401;315350;20240423;99991231
16;0101000401;315350;;
17;0101000401;315351;20240423;99991231
18;0101000401;315351;;
19;0101000401;313530;20240309;20240516
20;0101000401;313530;;
21;0101000401;315352;20240423;99991231
22;0101000401;315352;;
23;0101000401;315353;20240423;99991231
24;0101000401;315353;;
25;0101000501;313105;20240301;99991231
26;0101000501;313105;;
27;0101000501;313106;20240301;99991231
28;0101000501;313106;;
29;0101004101;313185;20240304;99991231
30;0101004101;313185;;
31;0101004101;313178;20240304;99991231
32;0101004101;313178;;
33;0101004101;313179;20240304;99991231
34;0101004101;313179;;
35;0101004101;313180;20240304;99991231
36;0101004101;313180;;
37;0101004101;313181;20240304;99991231
38;0101004101;313181;;
39;0101004101;313182;20240304;99991231
40;0101004101;313182;;
41;0101004101;313183;20240304;99991231
42;0101004101;313183;;
43;0101004101;313184;20240304;99991231
44;0101004101;313184;;
45;0101004101;313186;20240304;99991231
46;0101004101;313186;;
47;0101004101;313187;20240304;99991231
48;0101004101;313187;;
49;0101004101;313188;20240304;99991231
50;0101004101;313188;;
51;0101011301;300590;20231006;99991231
52;0101011301;300590;;
53;0101011301;310663;20240201;99991231
54;0101011301;310663;;
55;0101011301;310664;20240201;99991231
56;0101011301;310664;;
57;0101011301;310665;20240201;99991231
58;0101011301;310665;;
59;0101011301;310666;20240201;99991231
60;0101011301;310666;;
61;0101011301;310667;20240201;99991231
62;0101011301;310667;;
63;0101011301;310659;20240201;99991231
64;0101011301;310659;;
65;0101011301;310660;20240201;99991231
66;0101011301;310660;;
67;0101011301;310657;20240201;99991231
68;0101011301;310657;;
69;0101011301;310658;20240201;99991231
70;0101011301;310658;;
71;0101011301;310644;20240201;99991231
72;0101011301;310644;;
73;0101011301;310645;20240201;99991231
74;0101011301;310645;;
75;0101011301;310655;20240201;99991231
76;0101011301;310655;;
77;0101011301;310656;20240201;99991231
78;0101011301;310656;;
79;0101011301;310650;20240201;99991231
80;0101011301;310650;;
81;0101011301;310651;20240201;99991231
82;0101011301;310651;;
83;0101011301;310668;20240201;99991231
84;0101011301;310668;;
85;0101011301;310669;20240201;99991231
86;0101011301;310669;;
87;0101011301;304424;20240118;99991231
88;0101011301;304424;;
89;0101011301;304425;20240118;99991231
90;0101011301;304425;;
91;0101011301;310646;20240202;99991231
92;0101011301;310646;;
93;0101011301;310647;20240202;99991231
94;0101011301;310647;;
95;0101011301;310670;20240201;99991231
96;0101011301;310670;;
97;0101011901;303410;20231129;99991231
98;0101011901;303410;;
99;0101011901;303403;20231129;99991231
100;0101011901;303403;;
101;0101011901;314712;20240407;99991231
102;0101011901;314712;;
103;0101011901;314713;20240407;99991231
104;0101011901;314713;;
105;0101011901;314714;20240407;99991231
106;0101011901;314714;;
107;0101011901;314715;20240407;99991231
108;0101011901;314715;;
109;0101011901;314716;20240407;99991231
110;0101011901;314716;;
111;0101011901;314717;20240407;99991231
112;0101011901;314717;;
113;0101011901;294095;20231128;99991231
114;0101011901;294095;;
115;0101031503;299679;20230811;99991231
116;0101031503;299679;;
117;0101031503;304113;20240412;99991231
118;0101031503;304113;;
119;0101031503;304119;20240113;99991231
120;0101031503;304119;;
121;0101032103;313433;20240306;99991231
122;0101032103;313433;;
123;0101032103;299593;20230802;99991231
124;0101032103;299593;;
125;0101032103;113655;20240301;99991231
126;0101032103;113655;;
127;0101032103;314261;20240323;99991231
128;0101032103;314261;;
129;0101032103;314262;20240323;99991231
130;0101032103;314262;;
131;0101032103;300592;20231006;99991231
132;0101032103;300592;;
133;0101032103;313298;20240306;99991231
134;0101032103;313298;;
135;0101032202;299602;20230804;99991231
136;0101032202;299602;;
137;0101032202;300925;20231031;99991231
138;0101032202;300925;;
139;0101032202;300926;20231031;99991231
140;0101032202;300926;;
141;0101032202;301168;20231105;99991231
142;0101032202;301168;;
143;0101032301;301242;20231107;99991231
144;0101032301;301242;;
145;0101033603;300858;20231026;20240516
146;0101033603;300858;;
147;0101033603;300861;20231026;20240516
148;0101033603;300861;;
149;0101033703;315276;20240419;20240608
150;0101033703;315276;;
151;0101033703;315277;20240419;20240608
152;0101033703;315277;;
153;0101033801;303356;20231128;99991231
154;0101033801;303356;;
155;0101033801;303346;20231128;99991231
156;0101033801;303346;;
157;0101033801;303347;20231128;99991231
158;0101033801;303347;;
159;0101033801;303444;20231202;99991231
160;0101033801;303444;;
161;0101033801;303440;20231202;99991231
162;0101033801;303440;;
163;0101033801;303515;20231213;99991231
164;0101033801;303515;;
165;0101033801;303449;20231202;99991231
166;0101033801;303449;;
167;0101033801;303333;20231128;99991231
168;0101033801;303333;;
169;0101033901;303317;20231128;99991231
170;0101033901;303317;;
171;0101033901;303318;20231128;99991231
172;0101033901;303318;;
173;0101033901;303325;20231128;99991231
174;0101033901;303325;;
175;0101033901;303431;20231203;99991231
176;0101033901;303431;;
177;0101033901;303433;20231202;99991231
178;0101033901;303433;;
179;0101033901;303587;20231220;99991231
180;0101033901;303587;;
181;0101034101;300266;20230920;20240502
182;0101034101;300266;;
183;0101034101;316409;20240503;99991231
184;0101034101;316409;;
185;0101034101;301583;20231111;99991231
186;0101034101;301583;;
187;0101034101;316439;20240503;99991231
188;0101034101;316439;;
189;0101034303;314370;20240324;99991231
190;0101034303;314370;;
191;0101034303;314375;20240324;99991231
192;0101034303;314375;;
193;0101034303;314383;20240324;99991231
194;0101034303;314383;;
195;0101034503;300965;20231103;99991231
196;0101034503;300965;;
197;0101036303;311495;20240211;99991231
198;0101036303;311495;;
199;0101036303;303504;20231213;99991231
200;0101036303;303504;;
201;0101036303;302043;20231121;99991231
202;0101036303;302043;;
203;0101038501;303530;20231213;99991231
204;0101038501;303530;;
205;0101038501;303557;20231215;99991231
206;0101038501;303557;;
207;0101038501;313526;20240308;99991231
208;0101038501;313526;;
209;0101039201;314858;20240413;99991231
210;0101039201;314858;;
211;0101039201;314859;20240413;99991231
212;0101039201;314859;;
213;0101039301;303071;20231125;99991231
214;0101039301;303071;;
215;0101039301;303072;20231125;99991231
216;0101039301;303072;;
217;0101039301;303070;20231125;99991231
218;0101039301;303070;;
219;0101039301;316506;20240504;99991231
220;0101039301;316506;;
221;0101039301;300622;20231125;99991231
222;0101039301;300622;;
223;0101039301;154284;20240413;99991231
224;0101039301;154284;;
225;0101039301;316504;20240504;99991231
226;0101039301;316504;;
227;0101039301;316505;20240504;99991231
228;0101039301;316505;;
229;0101039301;316503;20240504;99991231
230;0101039301;316503;;
231;0101040101;314689;20240406;99991231
232;0101040101;314689;;
233;0101040201;314583;20240330;99991231
234;0101040201;314583;;
235;0101040703;300625;20231011;20231012
236;0101040703;300625;20231013;20240523
237;0101040703;300625;;
238;0101040703;314601;20240403;99991231
239;0101040703;314601;;
240;0101040703;314601;20240331;20240402
