riga;codice_servizio;elemento;data_inizio_corretta
37;0101360602;313217;[20230727]
49;0101360602;313255;[20230727]
124;0101363801;312949;[20240228]
434;0500103101;247911;[20230727]
441;0500103101;247910;[20230727]
666;0500110801;247911;[20230727]
669;0500110801;247915;[20230727]
670;0500110801;247918;[20230727]
682;0500110801;247913;[20230727]
1003;0500126301;283318;[20230926]
1005;0500126301;283452;[20230926]
1007;0500126301;283449;[20230926]
1030;0500126301;283450;[20230926]
1032;0500126301;283453;[20230926]
1034;0500126301;283457;[20230926]
1036;0500126301;283459;[20230926]
1038;0500126301;283460;[20230926]
1040;0500126301;283468;[20230926]
1042;0500126301;283469;[20230926]
1055;0500126301;283320;[20230926]
1057;0500126301;283317;[20230926]
1059;0500126301;283451;[20230926]
1061;0500126301;283458;[20230926]
1064;0500126301;283462;[20230926]
1066;0500126301;283467;[20230926]
1068;0500126301;283494;[20230926]
1082;0500126301;282057;[20230926]
1083;0500126301;304413;[20230926]
1101;0500126301;283455;[20230926]
1104;0500126301;283464;[20230926]
1106;0500126301;283466;[20230926]
1117;0500126301;283316;[20230926]
1119;0500126301;283319;[20230926]
1121;0500126301;283456;[20230926]
1124;0500126301;283463;[20230926]
1126;0500126301;283465;[20230926]
1128;0500126301;283492;[20230926]
1139;0501003402;246275;[20230727]
1140;0501003402;245094;[20230727]
1141;0501003402;245875;[20230727]
1142;0501003402;245135;[20230727]
1143;0501003402;245886;[20230727]
1144;0501003402;245898;[20230727]
1145;0501003402;246188;[20230727]
1146;0501003402;245724;[20230727]
1147;0501003402;245560;[20230727]
1148;0501003402;246096;[20230727]
1149;0501003402;245815;[20230727]
1150;0501003402;245088;[20230727]
1151;0501003402;246286;[20230727]
1152;0501003402;245109;[20230727]
1153;0501003402;245952;[20230727]
1154;0501003402;245674;[20230727]
1155;0501003402;245904;[20230727]
1156;0501003402;245571;[20230727]
1157;0501003402;246088;[20230727]
1158;0501003402;245312;[20230727]
1159;0501003402;245339;[20230727]
1160;0501003402;245387;[20230727]
1161;0501003402;245869;[20230727]
1162;0501003402;245841;[20230727]
1163;0501003402;247278;[20230727]
1164;0501003402;246207;[20230727]
1165;0501003402;245675;[20230727]
1166;0501003402;245167;[20230727]
1167;0501003402;247281;[20230727]
1168;0501003402;291847;[20230727]
1169;0501003402;245215;[20230727]
1170;0501003402;245398;[20230727]
1171;0501003402;245432;[20230727]
1172;0501003402;245351;[20230727]
1173;0501003402;245338;[20230727]
1174;0501003402;245535;[20230727]
1175;0501003402;245942;[20230727]
1176;0501003402;245610;[20230727]
1177;0501003402;246199;[20230727]
1178;0501003402;245831;[20230727]
1179;0501003402;245957;[20230727]
1180;0501003402;245290;[20230727]
1181;0501003402;245514;[20230727]
1182;0501003402;245372;[20230727]
1183;0501003402;245790;[20230727]
1184;0501003402;246233;[20230727]
1185;0501003402;245123;[20230727]
1186;0501003402;245671;[20230727]
1187;0501003402;246229;[20230727]
1188;0501003402;246228;[20230727]
1189;0501003402;246194;[20230727]
1190;0501003402;245958;[20230727]
1191;0501003402;246126;[20230727]
1192;0501003402;245594;[20230727]
1193;0501003402;245318;[20230727]
1194;0501003402;245767;[20230727]
1195;0501003402;245192;[20230727]
1196;0501003402;245927;[20230727]
1197;0501003402;245937;[20230727]
1198;0501003402;246023;[20230727]
1199;0501003402;245289;[20230727]
1200;0501003402;245515;[20230727]
1201;0501003402;245344;[20230727]
1202;0501003402;245377;[20230727]
1203;0501003402;245971;[20230727]
1204;0501003402;245507;[20230727]
1205;0501003402;245519;[20230727]
1206;0501003402;245987;[20230727]
1207;0501003402;246052;[20230727]
1208;0501003402;246071;[20230727]
1209;0501003402;245296;[20230727]
1210;0501003402;245324;[20230727]
1211;0501003402;245547;[20230727]
1212;0501003402;245405;[20230727]
1213;0501003402;245117;[20230727]
1214;0501003402;245453;[20230727]
1215;0501003402;246230;[20230727]
1216;0501003402;245300;[20230727]
1217;0501003402;245279;[20230727]
1218;0501003402;292068;[20230727]
1219;0501003402;246238;[20230727]
1220;0501003402;246259;[20230727]
1223;0501010709;267173;[20240217]
2408;0508050603;310755;[20240209]
2414;0508054902;268074;[20230727, 20230727]
