nomefile;ora_processamento;contatore
6J071503J6071500_0001_202406_001.pdf;2024/09/05 08:23:03
6J071503J6071500_0001_202406_001.pdf;2024/09/11 08:14:07
6J071503J6071500_0001_202406_001.pdf;2024/09/11 09:56:44
202308m08_0003_$CEDO-EstrazioneOrdinataPerCedolino_000.pdf;2024/10/28 16:19:29
202308m08_0003_$CEDO-EstrazioneOrdinataPerCedolino_000.pdf;2024/10/28 16:22:46
202308m08_0003_$CEDO-EstrazioneOrdinataPerCedolino_000.pdf;2024/10/28 16:48:28
202308m08_0003_$CEDO-EstrazioneOrdinataPerCedolino_000.pdf;2024/10/28 16:53:21
PRESENZE_0003_202008_001.pdf;2024/10/29 16:23:25
202012m13_0001_$CEDO-EstrazioneOrdinataPerCedolino_000.pdf;2024/10/31 15:08:35;999
202003m03_0001_$CEDO-EstrazioneOrdinataPerCedolino_000.pdf;2024/11/06 09:35:59;935
2J060401202405m05_0001_$CEDO-EstrazioneOrdinataPerCedolino_001.pdf;2024/11/06 11:33:30;790
2J060401202405m05_0001_$CEDO-EstrazioneOrdinataPerCedolino_002.pdf;2024/11/06 11:33:53;385
2J060401202405m05_0001_$CEDO-EstrazioneOrdinataPerCedolino_000.pdf;2024/11/06 11:35:01;811
202003m03_0001_$CEDO-EstrazioneOrdinataPerCedolino_001.pdf;2024/11/06 11:39:58;572
202008m08_0005_$CEDO-EstrazioneOrdinataPerCedolino_000.pdf;2024/11/06 11:50:23;30
PRESENZE_0005_202008_001.pdf;2024/11/06 11:51:43;26
PRESENZE_0001_202003_002.pdf;2024/11/06 12:16:16;496
PRESENZE_0001_202003_001.pdf;2024/11/06 12:16:26;1001
202007m07_0001_$CEDO-EstrazioneOrdinataPerCedolino_001.pdf;2024/11/14 15:48:43;787
202007m07_0001_$CEDO-EstrazioneOrdinataPerCedolino_000.pdf;2024/11/14 15:50:30;744
202007m07_0001_$CEDO-EstrazioneOrdinataPerCedolino_002.pdf;2024/11/14 15:50:48;154
PRESENZE_0001_202310_002.pdf;2024/12/03 12:48:14;860
PRESENZE_0001_202310_001.pdf;2024/12/03 12:48:24;1000
PRESENZE_0001_202311_001.pdf;2024/12/03 12:51:20;1000
PRESENZE_0001_202311_002.pdf;2024/12/03 12:51:32;856
CUR_AMIU_ST7_DIPENDENTI_000004.pdf;2024/12/23 12:28:48;195
CUR_AMIU_ST7_DIPENDENTI_000001.pdf;2024/12/23 12:44:57;500
CUR_AMIU_ST7_DIPENDENTI_000003.pdf;2024/12/23 12:51:38;500
CUR_AMIU_ST7_DIPENDENTI_000002.pdf;2024/12/23 12:58:25;500
AMIU_LD_ST7_01.pdf;2024/12/23 13:00:54;500
CUR_BONIFICHE_ST7-3-_DIPENDENTI.pdf;2024/12/23 13:02:19;93
DIPENDENTI_SATER_ST77.pdf;2024/12/23 13:02:38;27
ST7_AMIU_CESPOST.pdf;2024/12/27 11:05:21;140
ST7_AMIU_INFORZA_01.pdf;2024/12/27 11:59:13;500
CUR_ST7-1-_20250306134743_0000-1G_000001.pdf;2025/03/07 09:54:37;500
